,brand_name,brand_link,#_of_images
173,GILMA,https://www.advertgallery.com/product-category/advertisements-by-brand/gilma/,10
174,GINI & JONY,https://www.advertgallery.com/product-category/advertisements-by-brand/gini-jony/,3
175,GIORDANO,https://www.advertgallery.com/product-category/advertisements-by-brand/giordano/,33
176,GITAM UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/gitam-university/,5
177,GITANJALI JEWELS,https://www.advertgallery.com/product-category/advertisements-by-brand/gitanjali-jewels/,5
178,GKB OPTICALS,https://www.advertgallery.com/product-category/advertisements-by-brand/gkb-opticals/,3
179,GLA UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/gla-university/,33
180,GLEN,https://www.advertgallery.com/product-category/advertisements-by-brand/glen/,44
181,GLOBAL PLACEMENTS,https://www.advertgallery.com/product-category/advertisements-by-brand/global-placements/,4
182,GODREJ AGROVET,https://www.advertgallery.com/product-category/advertisements-by-brand/godrej-agrovet/,1
183,GODREJ APPLIANCES,https://www.advertgallery.com/product-category/advertisements-by-brand/godrej-appliances/,15
184,GODREJ INTERIO,https://www.advertgallery.com/product-category/advertisements-by-brand/godrej-interio/,61
185,GODREJ NATURE'S BASKET,https://www.advertgallery.com/product-category/advertisements-by-brand/godrej-natures-basket/,6
186,GODREJ PROPERTIES,https://www.advertgallery.com/product-category/advertisements-by-brand/godrej-properties/,115
187,GOIBIBO,https://www.advertgallery.com/product-category/advertisements-by-brand/goibibo-newspaper-advertisements/,2
188,GOOD YEAR,https://www.advertgallery.com/product-category/advertisements-by-brand/good-year/,3
189,GOOGLE,https://www.advertgallery.com/product-category/advertisements-by-brand/google/,20
190,GREAT EASTERN,https://www.advertgallery.com/product-category/advertisements-by-brand/great-eastern/,2
191,GROFERS,https://www.advertgallery.com/product-category/advertisements-by-brand/grofers/,58
192,GRT JEWELLERS,https://www.advertgallery.com/product-category/advertisements-by-brand/grt-jewellers/,42
193,H & M,https://www.advertgallery.com/product-category/advertisements-by-brand/h-m/,1
194,HAIER,https://www.advertgallery.com/product-category/advertisements-by-brand/haier/,36
195,HAIRLINE,https://www.advertgallery.com/product-category/advertisements-by-brand/hairline/,14
196,HAKOBA,https://www.advertgallery.com/product-category/advertisements-by-brand/hakoba/,6
197,HALDIRAM'S,https://www.advertgallery.com/product-category/advertisements-by-brand/haldirams/,22
198,HAMDARD,https://www.advertgallery.com/product-category/advertisements-by-brand/hamdard/,10
199,HAMSA,https://www.advertgallery.com/product-category/advertisements-by-brand/hamsa/,3
200,HAMSTECH,https://www.advertgallery.com/product-category/advertisements-by-brand/hamstech/,1
201,HARLEY DAVIDSON,https://www.advertgallery.com/product-category/advertisements-by-brand/harley-davidson/,4
202,HAVELLS,https://www.advertgallery.com/product-category/advertisements-by-brand/havells/,21
203,HAVMOR,https://www.advertgallery.com/product-category/advertisements-by-brand/havmor/,17
204,HAWKINS,https://www.advertgallery.com/product-category/advertisements-by-brand/hawkins/,2
205,HAZOORILAL,https://www.advertgallery.com/product-category/advertisements-by-brand/hazoorilal/,15
206,HDFC ERGO,https://www.advertgallery.com/product-category/advertisements-by-brand/hdfc-ergo/,2
207,HEAD & SHOULDERS,https://www.advertgallery.com/product-category/advertisements-by-brand/head-shoulders/,3
208,HEINZ,https://www.advertgallery.com/product-category/advertisements-by-brand/heinz/,2
209,HELIOS,https://www.advertgallery.com/product-category/advertisements-by-brand/helios/,2
210,HERO,https://www.advertgallery.com/product-category/advertisements-by-brand/hero-motocorp-newspaper-advertisements/,129
211,HIMALAYA,https://www.advertgallery.com/product-category/advertisements-by-brand/himalaya/,7
212,HINDUSTAN UNILEVER,https://www.advertgallery.com/product-category/advertisements-by-brand/hindustan-unilever/,23
213,HINDWARE,https://www.advertgallery.com/product-category/advertisements-by-brand/hindware/,48
214,HITACHI,https://www.advertgallery.com/product-category/advertisements-by-brand/hitachi/,23
215,HOLLYWOOD FOOTWEAR,https://www.advertgallery.com/product-category/advertisements-by-brand/hollywood-footwear/,3
216,HOME CENTRE,https://www.advertgallery.com/product-category/advertisements-by-brand/home-centre/,21
217,HOME TOWN,https://www.advertgallery.com/product-category/advertisements-by-brand/home-town-advertisements/,43
218,HONDA,https://www.advertgallery.com/product-category/advertisements-by-brand/honda/,271
219,HONOR,https://www.advertgallery.com/product-category/advertisements-by-brand/honor/,8
220,HORLICKS,https://www.advertgallery.com/product-category/advertisements-by-brand/horlicks/,15
221,HP,https://www.advertgallery.com/product-category/advertisements-by-brand/hp-advertisements-newspaper/,34
222,HUSH PUPPIES,https://www.advertgallery.com/product-category/advertisements-by-brand/hush-puppies/,1
223,HYATT,https://www.advertgallery.com/product-category/advertisements-by-brand/hyatt/,4
224,HYPERCITY,https://www.advertgallery.com/product-category/advertisements-by-brand/hypercity/,5
225,HYUNDAI,https://www.advertgallery.com/product-category/advertisements-by-brand/hyundai-cars-newspaper-advertisements/,176
226,ICFAI UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/icfai-university/,3
227,ICICI BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/icici-bank/,41
228,ICICI LOMBARD,https://www.advertgallery.com/product-category/advertisements-by-brand/icici-lombard/,3
229,IDBI FEDERAL,https://www.advertgallery.com/product-category/advertisements-by-brand/idbi-federal/,2
230,IDEE,https://www.advertgallery.com/product-category/advertisements-by-brand/idee/,3
231,IKEA,https://www.advertgallery.com/product-category/advertisements-by-brand/ikea/,8
232,IMAGE EYEWEAR,https://www.advertgallery.com/product-category/advertisements-by-brand/image-eyewear/,1
233,IMAGICA,https://www.advertgallery.com/product-category/advertisements-by-brand/imagica/,1
234,INARA WATCHES,https://www.advertgallery.com/product-category/advertisements-by-brand/inara-watches/,3
235,INDIABULLS,https://www.advertgallery.com/product-category/advertisements-by-brand/indiabulls/,20
236,INDIAN BANK,https://www.advertgallery.com/product-category/advertisements-by-brand/indian-bank/,2
237,INDIAN INSTITUTE OF SPACE SCIENCE TECHNOLOGY,https://www.advertgallery.com/product-category/advertisements-by-brand/indian-institute-space-science-technology-advertisements/,2
238,INDIAN TERRAIN,https://www.advertgallery.com/product-category/advertisements-by-brand/indian-terrain/,21
239,INDIRA GANDHI NATIONAL OPEN UNIVERSITY,https://www.advertgallery.com/product-category/advertisements-by-brand/ignou/,2
